Groups:
c_DOUT[7..0] =, c_DOUT[7], c_DOUT[6], c_DOUT[5], c_DOUT[4], c_DOUT[3], c_DOUT[2], c_DOUT[1], c_DOUT[0],  hex

Data:
time unit: ns, o_sdi, o_sck, p_available, c_XCLK, c_PCLK, c_SCL, c_SDATA, c_HREF, c_DOUT[7..0], c_DOUT[7], c_DOUT[6], c_DOUT[5], c_DOUT[4], c_DOUT[3], c_DOUT[2], c_DOUT[1], c_DOUT[0], ASYNC_FIFO:fifo|d_available, ASYNC_FIFO:fifo|r_en, ASYNC_FIFO:fifo|w_en, LCD_SPI_CONTROLLER_RUBIK:lcd|LCD_SPI_MASTER_IMPROVED:spi|o_busy, LCD_SPI_CONTROLLER_RUBIK:lcd|current_state.c_DATA, LCD_SPI_CONTROLLER_RUBIK:lcd|current_state.c_GOTO11, LCD_SPI_CONTROLLER_RUBIK:lcd|rst_coord, 
0, X, X, X, X, X, X, X, X, XX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
5, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
10, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
15, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
20, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
25, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
30, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
35, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
40, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
45, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
50, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
55, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
60, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
65, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
70, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
75, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
80, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
85, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
90, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
95, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
100, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
105, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
110, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
115, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
120, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
125, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
130, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
135, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
140, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
145, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
150, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
155, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
160, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
165, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
170, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
175, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
180, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
185, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
190, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
195, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
200, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
205, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
210, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
215, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
220, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
225, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
230, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
235, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
240, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
245, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
250, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
255, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
260, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
265, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
270, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
275, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
280, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
285, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
290, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
295, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
300, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
305, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
310, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
315, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
320, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
325, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
330, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
335, 0, 1, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
340, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
345, 0, 0, 0, 1, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
350, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
355, 0, 1, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 
360, 0, 0, 0, 0, 1, 1, 1, 0, 01, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 
